date,Middle BBand,Lower BBand,Upper BBand,EMA,RSI,SMA,MACD Signal,MACD,Closing Price
2021-01-20 09:00:00,214.4405,210.7278,218.1531,215.1985,60.1552,214.4405,0.8202,1.0124,217.172
2021-01-20 08:00:00,214.2918,210.6726,217.911,215.0624,60.7174,214.2918,0.7722,1.0119,217.2817
2021-01-20 07:00:00,214.1539,210.689,217.6189,214.9094,59.3831,214.1539,0.7122,0.9854,216.8826
2021-01-20 06:00:00,214.0316,210.7042,217.3589,214.7733,62.4055,214.0316,0.644,0.9778,217.4713
2021-01-20 05:00:00,213.8899,210.8075,216.9723,214.5872,60.7014,213.8899,0.5605,0.894,216.9525
2021-01-19 20:00:00,213.7552,210.8732,216.6371,214.4241,59.2239,213.7552,0.4771,0.8269,216.5235
2021-01-19 19:00:00,213.6268,210.9112,216.3424,214.2793,59.274,213.6268,0.3897,0.7728,216.5334
2021-01-19 18:00:00,213.5061,211.0045,216.0076,214.1239,58.7341,213.5061,0.2939,0.6916,216.3738
2021-01-19 17:00:00,213.3947,211.1272,215.6622,213.9687,58.1645,213.3947,0.1945,0.5941,216.2042
2021-01-19 16:00:00,213.2942,211.2807,215.3078,213.8145,57.293,213.2942,0.0946,0.4783,215.9448
2021-01-19 15:00:00,213.1998,211.443,214.9566,213.6676,56.5868,213.1998,-0.0013,0.3499,215.7353
2021-01-19 14:00:00,213.0984,211.6076,214.5891,213.525,55.7327,213.0984,-0.0891,0.2023,215.4824
2021-01-19 13:00:00,213.0,211.7882,214.2119,213.39,52.2334,213.0,-0.162,0.0367,214.5081
2021-01-19 12:00:00,212.9668,211.8733,214.0603,213.3129,46.4257,212.9668,-0.2117,-0.076,213.126
2021-01-19 11:00:00,212.9793,211.8703,214.0882,213.3258,47.4535,212.9793,-0.2456,-0.0779,213.3807
2021-01-19 10:00:00,213.0099,211.8113,214.2084,213.3221,48.6777,213.0099,-0.2876,-0.1053,213.68
2021-01-19 09:00:00,213.0252,211.7818,214.2686,213.2974,45.6508,213.0252,-0.3331,-0.1691,213.0115
2021-01-19 08:00:00,213.1049,211.5966,214.6132,213.3171,46.765,213.1049,-0.3741,-0.1801,213.2909
2021-01-19 07:00:00,213.1761,211.4532,214.899,213.3189,47.7303,213.1761,-0.4226,-0.2199,213.5303
2021-01-19 06:00:00,213.2426,211.3269,215.1584,213.3043,49.3298,213.2426,-0.4733,-0.2918,213.9194
2021-01-19 05:00:00,213.2892,211.2462,215.3321,213.2619,49.6183,213.2892,-0.5187,-0.4191,213.9893
2021-01-15 20:00:00,213.3081,211.2293,215.387,213.2117,39.7387,213.3081,-0.5436,-0.5825,211.9639
2021-01-15 19:00:00,213.3833,211.3416,215.425,213.2978,39.2279,213.3833,-0.5339,-0.5764,211.8741
2021-01-15 18:00:00,213.4761,211.4644,215.4878,213.396,40.0668,213.4761,-0.5233,-0.5511,212.1036
2021-01-15 17:00:00,213.6218,211.4061,215.8374,213.4851,39.4134,213.6218,-0.5163,-0.5342,211.9839
2021-01-15 16:00:00,213.7578,211.4615,216.0541,213.5886,39.7979,213.7578,-0.5118,-0.4926,212.0936
2021-01-15 15:00:00,213.8948,211.5228,216.2668,213.6917,43.2862,213.8948,-0.5166,-0.4435,213.0315
2021-01-15 14:00:00,213.9956,211.524,216.4671,213.7372,44.0565,213.9956,-0.5349,-0.4699,213.225
2021-01-15 13:00:00,214.0852,211.538,216.6324,213.7726,41.1111,214.0852,-0.5511,-0.5165,212.6623
2021-01-15 12:00:00,214.1916,211.6244,216.7589,213.8491,43.5517,214.1916,-0.5598,-0.5111,213.2819
2021-01-15 11:00:00,214.2691,211.6763,216.862,213.8883,40.4072,214.2691,-0.5719,-0.56,212.7122
2021-01-15 10:00:00,214.3557,211.8034,216.9081,213.9694,42.1357,214.3557,-0.5749,-0.5561,213.1462
2021-01-15 09:00:00,214.4327,211.8916,216.9738,214.0261,42.3977,214.4327,-0.5796,-0.5873,213.2111
2021-01-15 08:00:00,214.5022,211.9847,217.0198,214.0823,42.437,214.5022,-0.5777,-0.6251,213.221
2021-01-15 07:00:00,214.5382,212.0643,217.012,214.1417,40.7949,214.5382,-0.5659,-0.6654,212.9118
2021-01-15 06:00:00,214.5664,212.1489,216.984,214.2266,39.5034,214.5664,-0.541,-0.6756,212.6723
2021-01-15 05:00:00,214.586,212.2213,216.9508,214.3338,40.3544,214.586,-0.5073,-0.6544,212.9118
2021-01-14 20:00:00,214.6233,212.3311,216.9154,214.4318,40.779,214.6233,-0.4706,-0.6422,213.0315
2021-01-14 19:00:00,214.6792,212.4645,216.8938,214.5284,41.3395,214.6792,-0.4277,-0.6295,213.1911
2021-01-14 18:00:00,214.733,212.5883,216.8778,214.6206,40.9472,214.733,-0.3772,-0.6204,213.1113
2021-01-14 17:00:00,214.7813,212.7212,216.8414,214.7247,38.8722,214.7813,-0.3165,-0.5916,212.6923
2021-01-14 16:00:00,214.8431,212.9315,216.7547,214.8649,38.0708,214.8431,-0.2477,-0.5035,212.5326
2021-01-14 15:00:00,214.9076,213.1917,216.6236,215.0257,41.2755,214.9076,-0.1837,-0.3676,213.5107
2021-01-14 14:00:00,214.9425,213.3007,216.5844,215.1302,41.2248,214.9425,-0.1378,-0.2884,213.5003
2021-01-14 13:00:00,214.9738,213.4091,216.5385,215.2426,44.0553,214.9738,-0.1001,-0.1819,214.2985
2021-01-14 12:00:00,214.9825,213.43,216.535,215.3078,43.3079,214.9825,-0.0797,-0.1247,214.1399
2021-01-14 11:00:00,215.0004,213.475,216.5257,215.3883,48.2787,215.0004,-0.0684,-0.0338,215.4039
2021-01-14 10:00:00,214.9512,213.3865,216.5159,215.3872,48.3723,214.9512,-0.077,-0.0459,215.426
2021-01-14 09:00:00,214.9093,213.3305,216.4882,215.3846,48.7861,214.9093,-0.0848,-0.0629,215.5258
2021-01-14 08:00:00,214.8684,213.292,216.4449,215.3748,47.881,214.8684,-0.0903,-0.0939,215.3162
2021-01-14 07:00:00,214.8425,213.2708,216.4142,215.3789,44.4462,214.8425,-0.0894,-0.1108,214.558
2021-01-14 06:00:00,214.8984,213.2536,216.5431,215.4355,42.8165,214.8984,-0.084,-0.0534,214.2188
2021-01-14 05:00:00,214.9911,213.2024,216.7799,215.5194,44.4477,214.9911,-0.0917,0.055,214.6577
2021-01-13 20:00:00,215.0693,213.1459,216.9927,215.5788,52.4351,215.0693,-0.1284,0.148,216.4736
2021-01-13 19:00:00,215.0873,213.1026,217.0719,215.5171,50.4979,215.0873,-0.1974,0.0796,216.0645
2021-01-13 18:00:00,215.1381,212.9848,217.2915,215.4793,51.186,215.1381,-0.2667,0.0328,216.2042
