date,Upper BBand,Lower BBand,Middle BBand,EMA,RSI,SMA,MACD Signal,MACD,Closing Price
2021-01-25 19:00:00,13.606,12.7691,13.1875,13.3546,42.0744,13.1875,-0.1697,-0.1172,13.25
2021-01-25 18:00:00,13.6443,12.7548,13.1996,13.3618,40.9282,13.1996,-0.1829,-0.1336,13.18
2021-01-25 17:00:00,13.6883,12.7421,13.2152,13.3743,41.3805,13.2152,-0.1952,-0.1455,13.22
2021-01-25 16:00:00,13.7221,12.7343,13.2282,13.385,41.7147,13.2282,-0.2076,-0.1627,13.25
2021-01-25 15:00:00,13.749,12.7294,13.2392,13.3943,41.9813,13.2392,-0.2188,-0.1853,13.2744
2021-01-25 14:00:00,13.7715,12.7261,13.2488,13.4025,38.9778,13.2488,-0.2272,-0.2139,13.08
2021-01-25 13:00:00,13.8131,12.7261,13.2696,13.4248,36.1852,13.2696,-0.2305,-0.2276,12.91
2021-01-25 12:00:00,13.8228,12.7564,13.2896,13.4603,37.5432,13.2896,-0.2312,-0.2244,13.049
2021-01-25 11:00:00,13.8503,12.769,13.3096,13.4887,34.5684,13.3096,-0.2329,-0.2312,12.8748
2021-01-25 10:00:00,13.8899,12.7937,13.3418,13.531,30.63,13.3418,-0.2334,-0.2188,12.66
2021-01-25 09:00:00,13.8694,12.8789,13.3741,13.5911,35.7645,13.3741,-0.237,-0.1778,13.19
2021-01-25 08:00:00,13.9033,12.8835,13.3934,13.6187,37.0092,13.3934,-0.2518,-0.177,13.3
2021-01-25 07:00:00,14.1149,12.7613,13.4381,13.6407,37.701,13.4381,-0.2706,-0.1846,13.36
2021-01-25 06:00:00,14.3079,12.6609,13.4844,13.6601,38.1607,13.4844,-0.2921,-0.1976,13.4
2021-01-25 05:00:00,14.4794,12.5828,13.5311,13.678,38.8476,13.5311,-0.3157,-0.2155,13.46
2021-01-22 20:00:00,14.6271,12.5244,13.5757,13.693,37.9479,13.5757,-0.3407,-0.2413,13.41
2021-01-22 18:00:00,14.754,12.4881,13.6211,13.7125,37.2337,13.6211,-0.3656,-0.2656,13.37
2021-01-22 17:00:00,14.8656,12.4685,13.6671,13.7362,37.547,13.6671,-0.3906,-0.2887,13.4
2021-01-22 16:00:00,14.9835,12.4479,13.7157,13.7593,36.8623,13.7157,-0.416,-0.317,13.36
2021-01-22 15:00:00,15.1234,12.4225,13.7729,13.7869,37.0587,13.7729,-0.4408,-0.3445,13.38
2021-01-22 14:00:00,15.2903,12.3855,13.8379,13.815,37.1544,13.8379,-0.4648,-0.3766,13.39
2021-01-22 13:00:00,15.432,12.3698,13.9009,13.8443,36.8882,13.9009,-0.4869,-0.4131,13.3731
2021-01-22 12:00:00,15.5758,12.3605,13.9681,13.8768,35.8296,13.9681,-0.5053,-0.452,13.305
