date,Lower BBBAND,Middle BBAND,Upper BBAND,EMA,RSI,SMA,MACD,MACD_Signal,Closing Price
2021-02-04 17:00:00,64.2789,68.1372,71.9955,68.9371,54.2622,68.1372,0.6538,0.6726,70.65
2021-02-04 16:00:00,64.1907,68.0512,71.9117,68.879,54.7805,68.0512,0.7013,0.6773,70.86
2021-02-04 15:00:00,64.1084,67.9594,71.8103,68.8119,55.8801,67.9594,0.7304,0.6713,71.3
2021-02-04 14:00:00,64.0552,67.861,71.6668,68.7276,55.5109,67.861,0.712,0.6566,71.115
2021-02-04 13:00:00,63.9825,67.7598,71.537,68.6466,55.2621,67.7598,0.697,0.6427,70.99
2021-02-04 12:00:00,63.9236,67.6628,71.402,68.5672,54.85,67.6628,0.6805,0.6291,70.7825
2021-02-04 11:00:00,63.8565,67.5666,71.2767,68.4921,54.7067,67.5666,0.6707,0.6163,70.71
2021-02-04 10:00:00,63.7884,67.4694,71.1504,68.4169,56.3309,67.4694,0.6558,0.6026,71.3796
2021-02-04 09:00:00,63.8483,67.3907,70.9332,68.3165,53.8996,67.3907,0.559,0.5893,70.17
2021-02-04 08:00:00,63.8708,67.3392,70.8077,68.2536,52.5686,67.3392,0.5506,0.5969,69.55
2021-02-04 06:00:00,63.8795,67.3,70.7204,68.2097,55.0385,67.3,0.5949,0.6085,70.53
2021-02-03 20:00:00,63.9255,67.2773,70.6292,68.1311,53.2534,67.2773,0.543,0.6119,69.72
2021-02-03 19:00:00,63.9437,67.2652,70.5866,68.0772,52.6601,67.2652,0.5513,0.6292,69.46
2021-02-03 18:00:00,63.9555,67.2563,70.5572,68.0303,52.6601,67.2563,0.5804,0.6486,69.46
2021-02-03 17:00:00,63.9655,67.2493,70.5332,67.9818,52.5706,67.2493,0.6092,0.6656,69.42
2021-02-03 16:00:00,63.9745,67.243,70.5115,67.9331,52.5706,67.243,0.641,0.6798,69.42
2021-02-03 15:00:00,63.9824,67.2377,70.493,67.8827,53.0068,67.2377,0.6724,0.6895,69.6
2021-02-03 14:00:00,63.997,67.2283,70.4596,67.8245,52.6635,67.2283,0.6843,0.6937,69.44
2021-02-03 13:00:00,63.9861,67.234,70.4819,67.7697,52.9966,67.234,0.7058,0.6961,69.58
2021-02-03 12:00:00,63.9961,67.228,70.4598,67.7084,52.5539,67.228,0.7087,0.6937,69.37
2021-02-03 11:00:00,63.9853,67.2338,70.4823,67.652,52.0035,67.2338,0.7236,0.6899,69.11
2021-02-03 10:00:00,63.9884,67.2313,70.4743,67.6026,53.2655,67.2313,0.7584,0.6815,69.65
2021-02-03 09:00:00,64.0142,67.2105,70.4067,67.5332,52.2742,67.2105,0.737,0.6623,69.18
2021-02-03 08:00:00,64.0181,67.2077,70.3972,67.4774,51.9759,67.2077,0.7467,0.6436,69.04
2021-02-03 07:00:00,64.012,67.2118,70.4116,67.4244,52.9287,67.2118,0.7624,0.6179,69.45
