date,Lower BBand,Middle BBand,Upper BBand,EMA,RSI,SMA,MACD Signal,MACD,Closing Price
2021-02-01 17:00:00,10.6049,10.9594,11.314,10.9218,47.7837,10.9594,-0.0095,-0.0469,10.8
2021-02-01 16:00:00,10.6132,10.9632,11.3133,10.9302,47.3537,10.9632,-0.0002,-0.0432,10.78
2021-02-01 15:00:00,10.623,10.9672,11.3115,10.9406,47.8296,10.9672,0.0106,-0.0359,10.805
2021-02-01 14:00:00,10.6295,10.9699,11.3103,10.95,47.5217,10.9699,0.0222,-0.0285,10.7899
2021-02-01 13:00:00,10.6356,10.9722,11.3087,10.961,46.0979,10.9722,0.0349,-0.0171,10.72
2021-02-01 12:00:00,10.6248,10.9697,11.3146,10.9776,46.9792,10.9697,0.0479,0.0048,10.77
2021-02-01 11:00:00,10.614,10.9668,11.3196,10.9919,44.3029,10.9668,0.0586,0.0276,10.64
2021-02-01 10:00:00,10.6347,10.9721,11.3096,11.0162,51.0031,10.9721,0.0664,0.0695,10.99
2021-02-01 09:00:00,10.6187,10.9645,11.3102,11.018,57.4864,10.9645,0.0656,0.0863,11.26
2021-02-01 08:00:00,10.6116,10.9475,11.2834,11.0013,57.7492,10.9475,0.0605,0.0791,11.27
2021-01-29 20:00:00,10.611,10.9307,11.2505,10.9828,55.663,10.9307,0.0558,0.0677,11.1635
2021-01-29 18:00:00,10.6091,10.9192,11.2293,10.9703,56.3929,10.9192,0.0528,0.063,11.1924
2021-01-29 17:00:00,10.6126,10.9071,11.2016,10.955,54.2749,10.9071,0.0503,0.0531,11.0869
2021-01-29 16:00:00,10.6121,10.8994,11.1866,10.9459,53.7818,10.8994,0.0496,0.0505,11.0629
2021-01-29 15:00:00,10.6078,10.8906,11.1734,10.9378,52.6968,10.8906,0.0494,0.0488,11.0102
2021-01-29 14:00:00,10.601,10.8829,11.1648,10.9329,50.4371,10.8829,0.0495,0.0514,10.9042
2021-01-29 13:00:00,10.6004,10.8871,11.1738,10.9348,51.3055,10.8871,0.049,0.0647,10.943
2021-01-29 12:00:00,10.6,10.8861,11.1723,10.9343,55.8995,10.8861,0.0451,0.0768,11.1349
2021-01-29 11:00:00,10.6046,10.8839,11.1632,10.9204,57.5176,10.8839,0.0372,0.0716,11.1972
2021-01-29 10:00:00,10.6029,10.8844,11.1659,10.9013,55.1016,10.8844,0.0286,0.0575,11.0773
2021-01-29 09:00:00,10.6067,10.8799,11.1531,10.8892,55.1016,10.8799,0.0214,0.0509,11.0773
2021-01-28 20:00:00,10.611,10.8754,11.1398,10.8762,54.1265,10.8754,0.014,0.0418,11.0294
2021-01-28 19:00:00,10.6131,10.8721,11.1311,10.8657,53.5413,10.8721,0.0071,0.0345,11.0006
2021-01-28 18:00:00,10.6135,10.8681,11.1227,10.8564,54.2098,10.8681,0.0002,0.0275,11.0294
2021-01-28 17:00:00,10.6136,10.8614,11.1091,10.8444,53.4608,10.8614,-0.0066,0.0153,10.991
2021-01-28 16:00:00,10.6129,10.8561,11.0993,10.8343,54.1024,10.8561,-0.0121,0.0034,11.0198
2021-01-28 15:00:00,10.6159,10.8529,11.0898,10.8215,51.3761,10.8529,-0.0159,-0.0148,10.8807
2021-01-28 14:00:00,10.6067,10.8604,11.1141,10.8175,49.4754,10.8604,-0.0162,-0.0237,10.7896
2021-01-28 13:00:00,10.6114,10.8658,11.1202,10.8194,46.2696,10.8658,-0.0143,-0.0253,10.6457
2021-01-28 12:00:00,10.6336,10.8754,11.1173,10.8314,47.8323,10.8754,-0.0116,-0.0125,10.7224
2021-01-28 11:00:00,10.6466,10.8825,11.1183,10.8389,52.0916,10.8825,-0.0113,-0.0036,10.9143
2021-01-28 10:00:00,10.6468,10.8831,11.1194,10.8337,51.7804,10.8831,-0.0133,-0.0118,10.8999
2021-01-28 09:00:00,10.6473,10.8842,11.1211,10.8291,51.4758,10.8842,-0.0136,-0.0207,10.8855
2021-01-28 08:00:00,10.6482,10.8858,11.1234,10.8252,50.8758,10.8858,-0.0119,-0.0302,10.8567
2021-01-27 20:00:00,10.6505,10.8884,11.1263,10.8231,46.1561,10.8884,-0.0073,-0.039,10.6457
2021-01-27 19:00:00,10.6745,10.8952,11.116,10.8353,46.9489,10.8952,0.0006,-0.0282,10.6841
2021-01-27 18:00:00,10.6874,10.8984,11.1095,10.8457,49.4101,10.8984,0.0079,-0.0178,10.7992
2021-01-27 17:00:00,10.662,10.8926,11.1232,10.8489,48.5408,10.8926,0.0143,-0.0161,10.7608
2021-01-27 16:00:00,10.6505,10.8897,11.1289,10.855,48.3263,10.8897,0.0219,-0.0098,10.7512
2021-01-27 15:00:00,10.6405,10.8871,11.1337,10.8621,48.6202,10.8871,0.0298,-0.0005,10.7656
2021-01-27 14:00:00,10.6251,10.8831,11.1411,10.8688,49.6916,10.8831,0.0373,0.0098,10.8184
2021-01-27 13:00:00,10.623,10.8822,11.1413,10.8723,49.8847,10.8822,0.0442,0.0174,10.828
2021-01-27 12:00:00,10.6039,10.8761,11.1482,10.8753,50.4536,10.8761,0.051,0.0259,10.8567
2021-01-27 11:00:00,10.6047,10.8815,11.1584,10.8766,49.3367,10.8815,0.0572,0.0335,10.7992
2021-01-27 10:00:00,10.5882,10.8764,11.1646,10.882,48.9659,10.8764,0.0631,0.0485,10.78
2021-01-27 09:00:00,10.5655,10.87,11.1745,10.889,53.9244,10.87,0.0668,0.069,11.0294
2021-01-27 08:00:00,10.5405,10.8553,11.1701,10.8793,51.7443,10.8553,0.0663,0.0687,10.9143
2021-01-26 20:00:00,10.5268,10.8473,11.1678,10.8769,55.1049,10.8473,0.0657,0.079,11.0677
2021-01-26 19:00:00,10.5146,10.8329,11.1513,10.8637,58.5512,10.8329,0.0623,0.0754,11.2116
2021-01-26 17:00:00,10.4976,10.8085,11.1193,10.8398,53.2787,10.8085,0.0591,0.0551,10.943
2021-01-26 16:00:00,10.4589,10.7918,11.1248,10.8326,53.2787,10.7918,0.0601,0.0557,10.943
2021-01-26 15:00:00,10.4313,10.7766,11.1219,10.825,52.9793,10.7766,0.0612,0.0556,10.9287
2021-01-26 14:00:00,10.386,10.7576,11.1292,10.8179,51.9878,10.7576,0.0625,0.0562,10.8807
2021-01-26 13:00:00,10.3496,10.7412,11.1327,10.8135,50.8867,10.7412,0.0641,0.061,10.828
2021-01-26 12:00:00,10.3253,10.7287,11.132,10.8125,50.9895,10.7287,0.0649,0.0717,10.8327
2021-01-26 11:00:00,10.3168,10.7209,11.1249,10.8112,52.9537,10.7209,0.0632,0.0837,10.9239
2021-01-26 10:00:00,10.3071,10.7084,11.1097,10.8034,57.2147,10.7084,0.0581,0.0886,11.1061
2021-01-26 09:00:00,10.3131,10.6898,11.0666,10.7825,54.2157,10.6898,0.0505,0.075,10.9526
2021-01-26 07:00:00,10.3102,10.6767,11.0432,10.7708,53.8246,10.6767,0.0444,0.0721,10.9335
2021-01-25 20:00:00,10.311,10.6657,11.0204,10.7596,53.8246,10.6657,0.0374,0.0694,10.9335
2021-01-25 19:00:00,10.3134,10.6545,10.9956,10.7476,53.8246,10.6545,0.0294,0.0649,10.9335
2021-01-25 18:00:00,10.321,10.6491,10.9772,10.7347,53.8246,10.6491,0.0206,0.0582,10.9335
2021-01-25 17:00:00,10.321,10.6491,10.9772,10.721,53.8246,10.6491,0.0112,0.0489,10.9335
2021-01-25 16:00:00,10.3239,10.6478,10.9717,10.7064,53.8246,10.6478,0.0017,0.0362,10.9335
2021-01-25 15:00:00,10.3305,10.6445,10.9584,10.6907,52.415,10.6445,-0.0069,0.0195,10.8519
2021-01-25 14:00:00,10.3203,10.6488,10.9772,10.6796,51.1429,10.6488,-0.0135,0.0062,10.78
2021-01-25 13:00:00,10.3181,10.651,10.9839,10.6727,48.228,10.651,-0.0184,-0.0035,10.6233
2021-01-25 12:00:00,10.3193,10.6521,10.9848,10.6761,49.135,10.6521,-0.0222,0.0001,10.6734
2021-01-25 11:00:00,10.3188,10.6515,10.9841,10.6763,49.1538,10.6515,-0.0277,-0.0004,10.6745
2021-01-25 10:00:00,10.3147,10.6483,10.9818,10.6764,48.6359,10.6483,-0.0345,-0.0012,10.6457
2021-01-25 09:00:00,10.3144,10.648,10.9815,10.6785,51.1546,10.648,-0.0429,0.0007,10.7896
2021-01-25 08:00:00,10.3101,10.6406,10.9711,10.6709,48.5805,10.6406,-0.0538,-0.0114,10.6457
2021-01-25 06:00:00,10.3111,10.642,10.973,10.6726,55.9973,10.642,-0.0643,-0.0121,11.0198
2021-01-22 20:00:00,10.3305,10.6308,10.9312,10.6486,48.3789,10.6308,-0.0774,-0.0509,10.6457
2021-01-22 17:00:00,10.3255,10.6385,10.9515,10.6488,47.0147,10.6385,-0.084,-0.0616,10.5882
2021-01-22 16:00:00,10.3265,10.6468,10.9671,10.653,47.0147,10.6468,-0.0896,-0.0685,10.5882
2021-01-22 15:00:00,10.322,10.6586,10.9952,10.6575,48.8233,10.6586,-0.0949,-0.0763,10.6745
2021-01-22 14:00:00,10.3158,10.6676,11.0193,10.6563,47.9633,10.6676,-0.0996,-0.0939,10.6361
2021-01-22 13:00:00,10.3127,10.6778,11.0429,10.6577,44.2257,10.6778,-0.101,-0.1112,10.4779
2021-01-22 12:00:00,10.324,10.6933,11.0626,10.6701,43.3799,10.6933,-0.0985,-0.1155,10.4438
2021-01-22 11:00:00,10.331,10.7149,11.0988,10.6857,44.2106,10.7149,-0.0942,-0.1158,10.4875
2021-01-22 10:00:00,10.3392,10.7345,11.1298,10.6994,40.9686,10.7345,-0.0888,-0.119,10.358
2021-01-22 09:00:00,10.3716,10.7578,11.144,10.7229,41.4848,10.7578,-0.0812,-0.1081,10.3867
2021-01-22 08:00:00,10.3954,10.7841,11.1727,10.7461,42.704,10.7841,-0.0745,-0.0956,10.4539
2021-01-21 20:00:00,10.425,10.8032,11.1815,10.7663,45.4682,10.8032,-0.0693,-0.0851,10.5978
2021-01-21 18:00:00,10.4395,10.8171,11.1948,10.7779,44.3066,10.8171,-0.0653,-0.085,10.5498
2021-01-21 17:00:00,10.4615,10.8331,11.2047,10.7936,44.3066,10.8331,-0.0604,-0.0789,10.5498
2021-01-21 16:00:00,10.483,10.8517,11.2204,10.8104,44.4837,10.8517,-0.0558,-0.0699,10.5594
2021-01-21 15:00:00,10.5066,10.8597,11.2128,10.8278,45.2708,10.8597,-0.0522,-0.0584,10.6026
2021-01-21 14:00:00,10.5236,10.8777,11.2318,10.8433,45.1666,10.8777,-0.0507,-0.0472,10.5978
2021-01-21 13:00:00,10.5503,10.8899,11.2294,10.8602,48.3719,10.8899,-0.0516,-0.0318,10.7704
2021-01-21 12:00:00,10.5588,10.8963,11.2338,10.8664,51.723,10.8963,-0.0565,-0.0292,10.9335
2021-01-21 11:00:00,10.5579,10.9007,11.2436,10.8618,50.9521,10.9007,-0.0634,-0.0421,10.8952
2021-01-21 10:00:00,10.5595,10.9033,11.2471,10.8595,49.6848,10.9033,-0.0687,-0.054,10.8327
2021-01-21 09:00:00,10.5642,10.9097,11.2552,10.8613,52.8261,10.9097,-0.0724,-0.0621,10.9814
2021-01-20 19:00:00,10.5631,10.9129,11.2627,10.853,50.0698,10.9129,-0.075,-0.0867,10.8471
2021-01-20 17:00:00,10.5634,10.913,11.2627,10.8535,45.6876,10.913,-0.072,-0.1031,10.6553
2021-01-20 16:00:00,10.5857,10.922,11.2583,10.8671,45.6876,10.922,-0.0642,-0.103,10.6553
2021-01-20 15:00:00,10.6074,10.9386,11.2699,10.8817,43.8453,10.9386,-0.0546,-0.1015,10.5786
2021-01-20 14:00:00,10.6451,10.9584,11.2718,10.9026,44.9507,10.9584,-0.0428,-0.0901,10.6361
2021-01-20 13:00:00,10.6706,10.9795,11.2885,10.921,43.3397,10.9795,-0.031,-0.0803,10.569
2021-01-20 12:00:00,10.7174,11.0026,11.2877,10.9453,45.6456,11.0026,-0.0187,-0.0596,10.6889
2021-01-20 11:00:00,10.7502,11.02,11.2898,10.963,45.5088,11.02,-0.0084,-0.0447,10.683
2021-01-20 10:00:00,10.79,11.0376,11.2852,10.9823,49.476,11.0376,0.0006,-0.0243,10.8759
2021-01-20 09:00:00,10.804,11.0453,11.2865,10.9896,48.6147,11.0453,0.0068,-0.0176,10.8375
2021-01-20 08:00:00,10.8247,11.0537,11.2828,11.0001,50.9224,11.0537,0.0129,-0.0049,10.943
2021-01-19 18:00:00,10.8311,11.0566,11.2822,11.004,50.9224,11.0566,0.0174,0.0007,10.943
2021-01-19 17:00:00,10.8325,11.0571,11.2817,11.0082,50.9224,11.0571,0.0216,0.0078,10.943
2021-01-19 16:00:00,10.84,11.0606,11.2813,11.0127,50.9224,11.0606,0.025,0.0167,10.943
2021-01-19 15:00:00,10.8356,11.0593,11.2831,11.0175,54.081,11.0593,0.0271,0.0279,11.0917
2021-01-19 14:00:00,10.8206,11.0525,11.2844,11.0124,53.7734,11.0525,0.0269,0.0266,11.0752
2021-01-19 13:00:00,10.786,11.0417,11.2973,11.0081,53.4615,11.0417,0.027,0.0263,11.0581
2021-01-19 12:00:00,10.7698,11.0346,11.2995,11.0047,55.9199,11.0346,0.0272,0.0272,11.1732
2021-01-19 11:00:00,10.7558,11.0238,11.2917,10.993,53.3266,11.0238,0.0272,0.0162,11.0294
2021-01-19 10:00:00,10.74,11.017,11.2941,10.9905,53.0596,11.017,0.0299,0.0166,11.015
2021-01-19 09:00:00,10.7303,11.0123,11.2942,10.9888,53.3546,11.0123,0.0332,0.0184,11.0294
2021-01-19 08:00:00,10.7059,11.0029,11.3,10.986,54.9291,11.0029,0.0369,0.019,11.1061
2021-01-15 20:00:00,10.6827,10.991,11.2992,10.9778,49.1239,10.991,0.0414,0.0115,10.7992
2021-01-15 18:00:00,10.6814,10.9906,11.2998,10.9901,57.1256,10.9906,0.0489,0.0332,11.1444
